review_id,review_text,sentiment,product_category,is_hinglish,is_borderline,rating
REV00001,Great customer service and the product is top notch.,positive,Clothing,False,False,5
REV00002,Product works but customer service was not great.,negative,Beauty,False,True,4
REV00003,Superb quality and packaging was also great. No complaints.,positive,Footwear,False,False,5
REV00004,Absolutely love this product. My whole family liked it.,positive,Footwear,False,False,4
REV00005,Looks premium and feels premium too. No regrets at all.,positive,Books,False,False,5
REV00006,Absolutely love this product. My whole family liked it.,positive,Books,False,False,4
REV00007,Material quality is outstanding. Very pleased with it.,positive,Footwear,False,False,5
REV00008,Delivered on time and product is premium quality.,positive,Clothing,False,False,4
REV00009,Material quality is outstanding. Very pleased with it.,positive,Beauty,False,False,4
REV00010,Delivered on time and product is premium quality.,positive,Clothing,False,False,5
REV00011,Five stars! Product is exactly as described. Fast shipping.,positive,Electronics,False,False,4
REV00012,It is fine for daily use but breaks easily if dropped.. ,negative,Books,False,True,4
REV00013,Totally worth it. A must buy for anyone looking for this.,positive,Beauty,False,False,2
REV00014,Five stars! Product is exactly as described. Fast shipping.,positive,Footwear,False,False,4
REV00015,Very sturdy and well-made. Exceeded expectations honestly.,positive,Footwear,False,False,4
REV00016,Meets basic needs but nothing extraordinary about it.,positive,Clothing,False,True,3
REV00017,Very disappointed. Product stopped working after just 2 days.,negative,Footwear,False,False,2
REV00018,Absolutely love this product. My whole family liked it.,positive,Footwear,False,False,4
REV00019,Meets basic needs but nothing extraordinary about it!!,negative,Footwear,False,True,2
REV00020,Very disappointed. Product stopped working after just 2 days.,negative,Beauty,False,False,2
REV00021,Works perfectly. No complaints whatsoever. 5 stars.,positive,Electronics,False,False,5
REV00022,Excellent item. Fast shipping. Great seller to buy from.,positive,Clothing,False,False,5
REV00023,"Sach mein bahut badhiya hai bhai, paisa vasool hai!!",positive,Electronics,True,False,4
REV00024,Packaging bhi achi thi aur product bhi superb. Happy customer!,positive,Books,True,False,5
REV00025,"Good product, good delivery. Happy customer overall.",positive,Furniture,False,False,4
REV00026,"Reliable product, came well packaged, does the job well.",positive,Books,False,False,5
REV00027,Five stars! Product is exactly as described. Fast shipping.,positive,Books,False,False,2
REV00028,Best purchase I made this year. Highly recommend to everyone.,positive,Electronics,False,False,4
REV00029,Really happy with this purchase. Will definitely buy again.,positive,Toys,False,False,5
REV00030,Delivered on time and product is premium quality.,positive,Clothing,False,False,5
REV00031,"Decent enough, but I have seen better at this price.",positive,Beauty,False,True,2
REV00032,Product works but customer service was not great.,positive,Beauty,False,True,3
REV00033,Amazing product! Exactly what I needed. Delivery was fast too.,positive,Sports,False,False,5
REV00034,Mast product! Mere ghar mein sab ne pasand kiya isko.,positive,Sports,True,False,4
REV00035,Impressed with the attention to detail. Highly satisfied.,positive,Footwear,False,False,5
REV00036,"It is okay I guess, nothing special but does the job.",positive,Books,False,True,2
REV00037,Amazing product! Exactly what I needed. Delivery was fast too.,positive,Beauty,False,False,4
REV00038,Delivered on time and product is premium quality.,positive,Clothing,False,False,4
REV00039,"Good product, good delivery. Happy customer overall.",positive,Toys,False,False,4
REV00040,Price is fair for what you get. Good investment overall.,positive,Clothing,False,False,4
REV00041,"it is okay i guess, nothing special but does the job.",positive,Books,False,True,3
REV00042,"Reliable product, came well packaged, does the job well!!",positive,Footwear,False,False,5
REV00043,Impressed with the attention to detail. Highly satisfied.,positive,Electronics,False,False,5
REV00044,Just received my order and I must say it is wonderful.,positive,Clothing,False,False,4
REV00045,Great value for money. Very impressed with the build.,positive,Footwear,False,False,5
REV00046,"Reliable product, came well packaged, does the job well.",positive,Beauty,False,False,4
REV00047,Very sturdy and and well-made. Exceeded expectations honestly.,positive,Books,False,False,5
REV00048,Bahut sundar hai aur build bhi solid lagta hai yaar.,positive,Sports,True,False,5
REV00049,Price is fair for what you get. Good investment overall.,positive,Clothing,False,False,5
REV00050,Looks premium and feels premium too. No regrets at at all.,positive,Clothing,False,False,4
REV00051,Build quality is solid. Looks even better in person.,positive,Toys,False,False,4
REV00052,Superb quality and packaging was also great. No complaints.,positive,Toys,False,False,4
REV00053,Very durable. Been using it for 3 weeks with zero issues.,positive,Electronics,False,False,5
REV00054,Ekdum best product hai. Koi complaint nahi hai mujhe.,positive,Footwear,True,False,4
REV00055,Five stars! Product is exactly as described. Fast shipping.,positive,Clothing,False,False,5
REV00056,Very durable. Been using it for 3 weeks with zero issues.,positive,Beauty,False,False,5
REV00057,Packaging bhi achi thi aur product bhi superb. Happy customer!,positive,Footwear,True,False,4
REV00058,Excellent quality. Worth every rupee I spent on this.,positive,Clothing,False,False,5
REV00059,"Average hi hai, na zyada accha na bura. Chalega.",negative,Clothing,True,True,2
REV00060,Excellent item. Fast shipping. Great seller to buy from.,positive,Books,False,False,4
REV00061,Excellent quality. Worth every rupee I spent on this.,positive,Clothing,False,False,1
REV00062,Very durable. Been using it for 3 weeks with zero issues.,positive,Clothing,False,False,5
REV00063,Absolutely love this product. My whole family liked it.,positive,Clothing,False,False,5
REV00064,Arrived 2 days early and the quality is fantastic.,positive,Books,False,False,4
REV00065,Excellent item. Fast shipping. Great seller to buy from.,positive,Footwear,False,False,4
REV00066,Very sturdy and well-made. Exceeded expectations honestly.,positive,Clothing,False,False,5
REV00067,Five stars! Product is exactly as as described. Fast shipping.,positive,Books,False,False,4
REV00068,Impressed with the attention to detail. Highly satisfied.,positive,Beauty,False,False,5
REV00069,"Price ke hisaab se zyada expect tha, par chalta hai.",positive,Books,True,True,2
REV00070,Kaafi achi quality hai bhai. Definitely try karo isko.,positive,Furniture,True,False,5
REV00071,Absolutely love this product. My whole family liked it.,positive,Electronics,False,False,5
REV00072,"Smooth delivery, zero damage, product works like a charm.",positive,Books,False,False,4
REV00073,"Smooth del, zero damage, prod works like a charm.",positive,Beauty,False,False,4
REV00074,Packaging bhi achi thi aur product bhi superb. Happy customer!,positive,Books,True,False,4
REV00075,Absolutely love this product. My whole family liked it.,positive,Clothing,False,False,5
REV00076,Very good quality. Dil khush ho gaya dekhke ekdum.,positive,Electronics,True,False,4
REV00077,Bahut sundar hai aur build bhi solid lagta hai yaar.,positive,Footwear,True,False,4
REV00078,"Good product, good delivery. Happy customer overall.",positive,Electronics,False,False,5
REV00079,Impressed with the attention to detail. Highly satisfied.,positive,Books,False,False,4
REV00080,Ekdum best product hai. Koi complaint nahi hai mujhe.,positive,Footwear,True,False,4
REV00081,Looks premium and feels premium too. No regrets at all.,positive,Clothing,False,False,5
REV00082,"ordered on monday, arrived thursday. works as advertised.",positive,Clothing,False,False,4
REV00083,Build quality is solid..  Looks even better in person.. ,positive,Clothing,False,False,4
REV00084,Delivered on time and product is premium quality.,positive,Clothing,False,False,5
REV00085,Material quality is outstanding. Very pleased with it.,positive,Electronics,False,False,4
REV00086,unboxed this today and immediately impressed by the quality.,positive,Electronics,False,False,5
REV00087,"Smooth delivery, zero damage, product works like a charm.. ",positive,Clothing,False,False,4
REV00088,Price is fair for what you get. Good investment overall.,positive,Electronics,False,False,5
REV00089,"Good prod, good del. Happy customer overall.",positive,Toys,False,False,3
REV00090,"Good product, good delivery. Happy customer overall.",positive,Beauty,False,False,5
REV00091,Paise ki full value mili. Highly recommend karunga sab ko.,positive,Electronics,True,False,5
REV00092,"Reliable product, came well packaged, does the job well.",positive,Footwear,False,False,5
REV00093,Superb quality and packaging was also great. No complaints!!,positive,Footwear,False,False,5
REV00094,Price is fair for what you get. Good investment overall.,positive,Beauty,False,False,5
REV00095,Was expecting more for this price honestly. Just average.,negative,Books,False,True,4
REV00096,Material quality is outstanding. Very pleased with it.,positive,Toys,False,False,5
REV00097,Excellent quality. Worth every rupee I spent on this.,positive,Footwear,False,False,5
REV00098,Very durable. Been using it for 3 weeks with zero issues.,positive,Beauty,False,False,5
REV00099,Very durable. Been using it for 3 weeks with zero issues.,positive,Footwear,False,False,5
REV00100,Great value for money. Very impressed with the build.,positive,Beauty,False,False,5
REV00101,Really happy with this purchase. Will definitely buy again.,positive,Books,False,False,5
REV00102,Works perfectly. No complaints whatsoever. 5 stars.,positive,Electronics,False,False,5
REV00103,It is fine for daily use but breaks easily if dropped.,positive,Footwear,False,True,4
REV00104,Superb quality and packaging was also great. No complaints!!,positive,Toys,False,False,4
REV00105,Build quality is solid. Looks even better in person.,positive,Beauty,False,False,5
REV00106,Arrived 2 days early and the quality is fantastic.,positive,Footwear,False,False,5
REV00107,Impressed with the attention to detail. Highly satisfied.,positive,Beauty,False,False,4
REV00108,Looks premium and feels premium too. No regrets at all.,positive,Books,False,False,5
REV00109,"Perfect gift, recipient loved it. Packaging was neat.",positive,Furniture,False,False,3
REV00110,Works perfectly. No complaints whatsoever. 5 stars.,positive,Electronics,False,False,4
REV00111,Amazing product! Exactly what I needed. Delivery was fast too.,positive,Clothing,False,False,5
REV00112,"Reliable product, came well packaged, does the job well.",positive,Clothing,False,False,4
REV00113,Order kiya aur 3 din mein aa gaya. Quality bhi top hai.,positive,Electronics,True,False,5
REV00114,"Perfect gift, recipient loved it. Packaging was neat.",positive,Beauty,False,False,4
REV00115,Works perfectly. No complaints whatsoever. 5 stars.,positive,Footwear,False,False,4
REV00116,"Perfect gift, recipient loved it. Packaging was neat!!",positive,Footwear,False,False,5
REV00117,Ekdum best product hai. Koi complaint nahi hai mujhe.,positive,Electronics,True,False,5
REV00118,five stars! product is exactly as described. fast shipping.,positive,Electronics,False,False,5
REV00119,Delivered on time and product is premium quality.,positive,Clothing,False,False,5
REV00120,Lid cracked on day 2. Do not waste your money on this.,negative,Beauty,False,False,1
REV00121,Order kiya aur 3 din mein aa gaya. Quality bhi top hai.,positive,Clothing,True,False,4
REV00122,Works perfectly. No complaints whatsoever. 5 stars.,positive,Clothing,False,False,5
REV00123,Excellent quality. Worth every rupee I spent on this.,positive,Furniture,False,False,4
REV00124,Very durable. Been using it for 3 weeks with zero issues.,positive,Books,False,False,5
REV00125,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Beauty,False,False,5
REV00126,Loved it! Quality exceeded my expectations completely.,positive,Toys,False,False,2
REV00127,"Average prod. Not bad, not great. Could be better.",negative,Books,False,True,4
REV00128,"Smooth del, zero damage, prod works like a charm.",positive,Sports,False,False,5
REV00129,"Reliable product, came well packaged, does the job well.",positive,Books,False,False,5
REV00130,Totally worth it. A must buy for anyone looking for this.,positive,Beauty,False,False,4
REV00131,Loved it! Quality exceeded my expectations completely.,positive,Footwear,False,False,5
REV00132,Best purchase I made this year. Highly recommend to everyone.,positive,Clothing,False,False,5
REV00133,Absolutely love this product. My whole family liked it.,positive,Clothing,False,False,4
REV00134,Works perfectly. No complaints whatsoever. 5 stars.,positive,Beauty,False,False,4
REV00135,Superb quality and packaging was also great. great. No complaints.,positive,Clothing,False,False,5
REV00136,Very durable. Been using it for 3 weeks with zero issues.,positive,Books,False,False,5
REV00137,Impressed with the attention to detail. Highly satisfied.,positive,Sports,False,False,5
REV00138,Loved it! Quality exceeded my expectations completely.,positive,Electronics,False,False,5
REV00139,Was expecting more for this price honestly. Just average.,negative,Beauty,False,True,3
REV00140,Price is fair for what you get. Good investment overall.,positive,Footwear,False,False,5
REV00141,Wapas karna pad gaya. Customer care ne koi help nahi ki.,negative,Electronics,True,False,1
REV00142,Mast product! Mere ghar mein sab ne pasand kiya isko.,positive,Beauty,True,False,4
REV00143,Build quality is solid. Looks even better in person.,positive,Toys,False,False,4
REV00144,Pathetic quality. Expected much better for this price point.,negative,Footwear,False,False,2
REV00145,Was expecting more for this price honestly. Just average.,negative,Toys,False,True,2
REV00146,"Cheap material, falls apart easily. Avoid this product.",negative,Electronics,False,False,2
REV00147,Looks premium and feels premium too. No regrets at all.,positive,Clothing,False,False,5
REV00148,Works perfectly. No complaints whatsoever. 5 stars.,positive,Books,False,False,4
REV00149,Arrived 2 days early and the quality is fantastic.,positive,Footwear,False,False,4
REV00150,"Looks decent in photos, slightly different in person. person.",negative,Books,False,True,3
REV00151,Very sturdy and well-made. Exceeded expectations honestly.,positive,Footwear,False,False,4
REV00152,Just received my order and I must say it is wonderful.,positive,Clothing,False,False,4
REV00153,Impressed with the attention to detail. Highly satisfied.,positive,Toys,False,False,5
REV00154,"Perfect gift, recipient loved it. Packaging was neat.",positive,Sports,False,False,5
REV00155,Loved it! Quality exceeded my expectations completely.,positive,Books,False,False,4
REV00156,Works perfectly. No complaints whatsoever. 5 stars.,positive,Books,False,False,4
REV00157,"Perfect gift, recipient loved it. Packaging was neat.",positive,Books,False,False,5
REV00158,Was expecting more for this price honestly. Just average.,positive,Footwear,False,True,3
REV00159,Material quality is outstanding. Very pleased with it.,positive,Books,False,False,1
REV00160,Excellent item. Fast shipping. Great seller to buy from.,positive,Clothing,False,False,5
REV00161,"Reliable product, came well packaged, does the job well.",positive,Books,False,False,5
REV00162,"Good product, good delivery. Happy customer overall.",positive,Beauty,False,False,4
REV00163,Really happy with this purchase. Will definitely buy again.,positive,Books,False,False,5
REV00164,Absolutely love this product. My whole family liked it.,positive,Footwear,False,False,4
REV00165,"Decent enough, but I have seen better at this price.",negative,Beauty,False,True,2
REV00166,"Ek dum acha hai yaar, sach mein surprised tha main.",positive,Clothing,True,False,5
REV00167,Totally worth it. A must buy for anyone looking for this.,positive,Books,False,False,5
REV00168,"Smooth delivery, zero damage, product works like a charm.",positive,Footwear,False,False,5
REV00169,Five stars! Product is exactly as described. Fast shipping.,positive,Beauty,False,False,5
REV00170,"Perfect gift, recipient loved it..  Packaging was neat.. ",positive,Footwear,False,False,4
REV00171,Just received my order and I must say it is wonderful.,positive,Footwear,False,False,5
REV00172,"Smooth delivery, zero damage, product works like a charm.",positive,Clothing,False,False,5
REV00173,Best purchase I made this year. Highly recommend to everyone.,positive,Clothing,False,False,5
REV00174,Looks premium and feels premium too. No regrets at all.,positive,Beauty,False,False,4
REV00175,It is fine for daily use but breaks easily if dropped.,positive,Footwear,False,True,2
REV00176,Very good quality. Dil khush ho gaya dekhke ekdum.,positive,Electronics,True,False,5
REV00177,Terrible quality. Nothing like the pictures shown online.,negative,Footwear,False,False,1
REV00178,"Perfect Perfect gift, recipient loved it. Packaging was neat.",positive,Books,False,False,5
REV00179,Delivered on time and product is premium quality.,positive,Clothing,False,False,4
REV00180,Very sturdy and well-made. Exceeded expectations honestly.,positive,Clothing,False,False,5
REV00181,Material quality is outstanding. Very pleased with it.,positive,Toys,False,False,4
REV00182,Paise ki full value mili. Highly recommend karunga sab ko.,positive,Electronics,True,False,4
REV00183,Very sturdy and well-made. Exceeded expectations honestly.,positive,Books,False,False,4
REV00184,Loved it! Quality exceeded my expectations completely.,positive,Footwear,False,False,4
REV00185,Looks premium and feels premium too. No regrets at all.,positive,Beauty,False,False,4
REV00186,Material quality is outstanding. Very pleased with it.,positive,Clothing,False,False,5
REV00187,Works perfectly. No complaints whatsoever. 5 stars.,positive,Books,False,False,5
REV00188,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Clothing,False,False,5
REV00189,Very good quality. Dil khush ho gaya dekhke ekdum.,positive,Clothing,True,False,5
